path_id	pc	variance_explained	sd	cum_var
hsa04914	PC7	3.48157013784703	1.10387931779088	27.4760013675776
hsa04914	PC8	3.47440139281146	1.10274225795696	30.9504027603891
hsa04914	PC9	3.39916500255186	1.09073725107981	34.3495677629409
hsa04914	PC10	3.27359660411339	1.07040123852679	37.6231643670543
hsa04917	PC1	6.33390493728461	1.2329384351817	6.33390493728461
hsa04917	PC2	5.60402679367098	1.15972687753671	11.9379317309556
hsa04917	PC3	5.26097957904982	1.12367036935747	17.1989113100054
hsa04917	PC4	5.1027182452638	1.1066401306944	22.3016295552692
hsa04917	PC5	4.91057618313538	1.08560503128555	27.2122057384046
hsa04917	PC6	4.79289728514534	1.07251822755368	32.0051030235499
hsa04917	PC7	4.62609909900863	1.05369055408221	36.6312021225586
hsa04917	PC8	4.59217306124475	1.04981976295874	41.2233751838033
hsa04917	PC9	4.52028650280035	1.04157033400154	45.7436616866037
hsa04917	PC10	4.32573337234943	1.01890922528156	50.0693950589531
hsa00640	PC1	12.3502628581159	1.11131736502746	12.3502628581159
hsa00640	PC2	11.5875367823015	1.07645421557545	23.9377996404174
hsa00640	PC3	10.916333647657	1.04481259791682	34.8541332880743
hsa00640	PC4	10.4825291325615	1.02384223064696	45.3366624206358
hsa00640	PC5	9.97748162399151	0.998873446638336	55.3141440446273
hsa00640	PC6	9.9299901276604	0.996493358114362	65.2441341722877
hsa00640	PC7	9.21992225265694	0.960204262261782	74.4640564249447
hsa00640	PC8	8.78671838084363	0.937374971974589	83.2507748057883
hsa00640	PC9	8.64384346562226	0.929722725635028	91.8946182714106
hsa00640	PC10	8.10538172858942	0.900298935275912	100
hsa05215	PC1	4.56726323566079	1.33462828604361	4.56726323566079
hsa05215	PC2	3.88798219261664	1.23138663916761	8.45524542827744
hsa05215	PC3	3.611338371093	1.1867695499659	12.0665837993704
hsa05215	PC4	3.51270293522858	1.17045040251142	15.579286734599
hsa05215	PC5	3.4309610058386	1.15675182830072	19.0102477404376
hsa05215	PC6	3.37660195473615	1.14755163820505	22.3868496951738
hsa05215	PC7	3.19666085679537	1.11655619390615	25.5835105519691
hsa05215	PC8	3.12285828883637	1.1035917418349	28.7063688408055
hsa05215	PC9	3.09977699506115	1.09950581084133	31.8061458358667
hsa05215	PC10	3.03142938788887	1.08731663340384	34.8375752237555
hsa04974	PC1	7.00346727885338	1.29646910758599	7.00346727885338
hsa04974	PC2	5.38753153723742	1.13710490674211	12.3909988160908
hsa04974	PC3	5.23001703704511	1.12035891074728	17.6210158531359
hsa04974	PC4	5.11789625039427	1.10828475587036	22.7389121035302
hsa04974	PC5	4.79968322815581	1.07327721244672	27.538595331686
hsa04974	PC6	4.77132072548754	1.07010138497108	32.3099160571735
hsa04974	PC7	4.6376736642877	1.05500790491306	36.9475897214612
hsa04974	PC8	4.50892776466567	1.0402608632068	41.4565174861269
hsa04974	PC9	4.45950698978154	1.0345441883011	45.9160244759084
hsa04974	PC10	4.31863467576917	1.01807284718953	50.2346591516776
hsa04141	PC1	5.24710362587382	1.31588152830654	5.24710362587382
hsa04141	PC2	4.54495640939643	1.22467775969878	9.79206003527025
hsa04141	PC3	4.02406021345019	1.15236273388138	13.8161202487204
hsa04141	PC4	3.96054969272341	1.14323287155274	17.7766699414439
hsa04141	PC5	3.85341344606972	1.12766415089024	21.6300833875136
hsa04141	PC6	3.82462821231647	1.12344439562643	25.45471159983
hsa04141	PC7	3.72742495615589	1.10907629833634	29.1821365559859
hsa04141	PC8	3.66241073791533	1.09936142533384	32.8445472939013
hsa04141	PC9	3.57429088920079	1.08605524419168	36.4188381831021
hsa04141	PC10	3.47193348987789	1.07039154128744	39.8907716729799
hsa05205	PC1	4.53322252056792	1.83155252865438	4.53322252056792
hsa05205	PC2	2.56204242072576	1.37692098224156	7.09526494129368
hsa05205	PC3	2.45176881224507	1.3469628506612	9.54703375353875
hsa05205	PC4	2.36676729582957	1.32340764653748	11.9138010493683
hsa05205	PC5	2.23717274599917	1.28666539241537	14.1509737953675
hsa05205	PC6	2.16179817816727	1.264804590379	16.3127719735348
hsa05205	PC7	2.0861927665222	1.24249050186568	18.398964740057
hsa05205	PC8	2.01831656587215	1.22211057549855	20.4172813059291
hsa05205	PC9	2.00088776685175	1.21682247985082	22.4181690727809
hsa05205	PC10	1.95655923290939	1.20326798027411	24.3747283056903
hsa00230	PC1	4.62251852026894	1.34267725939813	4.62251852026894
hsa00230	PC2	3.73916751411461	1.20759071315769	8.36168603438355
hsa00230	PC3	3.56468366564306	1.17907872069713	11.9263697000266
hsa00230	PC4	3.5444278779361	1.17572397797913	15.4707975779627
hsa00230	PC5	3.35829855194822	1.1444371696427	18.8290961299109
hsa00230	PC6	3.30087140130661	1.13460999753641	22.1299675312175
hsa00230	PC7	3.16859628481284	1.11164407571714	25.2985638160304
hsa00230	PC8	3.13330328826322	1.10543578846655	28.4318671042936
hsa00230	PC9	3.10406173717384	1.1002654577409	31.5359288414674
hsa00230	PC10	3.03431764748197	1.08783449224501	34.5702464889494
hsa00240	PC1	9.89891037332459	1.21853869696399	9.89891037332459
hsa00240	PC2	7.9058234932446	1.08897820179593	17.8047338665692
hsa00240	PC3	7.822325131479	1.08321224592499	25.6270589980482
hsa00240	PC4	7.42252561104871	1.05516768414187	33.0495846090969
hsa00240	PC5	7.11924399616503	1.03338598762745	40.1688286052619
hsa00240	PC6	6.89134767786554	1.01671143973098	47.0601762831275
hsa00240	PC7	6.5824912505277	0.993666789008849	53.6426675336552
hsa00240	PC8	6.44727114212238	0.98340768317029	60.0899386757776
hsa00240	PC9	6.23967759970456	0.967445936451068	66.3296162754821
hsa00240	PC10	6.09447225578552	0.956122815525197	72.4240885312676
hsa04622	PC1	8.041219443277	1.13428175993636	8.041219443277
hsa04622	PC2	7.77598869111605	1.11541839261264	15.8172081343931
hsa04622	PC3	7.249400958607	1.07698846483011	23.0666090930001
